Key;Year;HS92-4;HS92-4 Short Label;HS92-2;HS92-2 Short Label;HS92 Section;WB-CapitalType;BEC4-3;BEC4-3 Label;NACE-4;NACE-4 Labels;Nace-2 Label;Chemical Vertical;PCI;RCA;Export (Real Value USD);Import  (Real Value USD);Norm PCI;Norm RCA;Share Export;Share Export Sector;Global Export HS92 Sector;Ro Export HS92 Sector;Ro Import HS92 Sector;Weight Export per Sector;Weight Import per Sector; PCI Export per Sector; PCI Import per Sector;Norm PCI per Sector;RCA Export per Sector;RCA Export;Norm RCA Export per Sector
1962 Chemicals;1962;2804 HS92;Silicon & rare gases;28 HS92;Inorganic chemicals;Chemicals;Agri-food goods;122;Processed, Mainly for household consumption;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Inorganic Processing Inputs;-0.616837418;0.45855138;329,880;720,741;36.16932323;4.605262427;0.00004237%;0.00050242%;65658269729;21926738;180713744;0.015044645;0.0039883;-0.0092801;-0.002460134;0.544154646;0.006898743;0.000132879;0.069284541
1962 Chemicals;1962;2811 HS92;Other inorganic acids;28 HS92;Inorganic chemicals;Chemicals;Agri-food goods;122;Processed, Mainly for household consumption;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Inorganic Processing Inputs;0.150122818;0.07910727;40,788;1,294,478;52.54794715;0.794479646;0.00000524%;0.00006212%;65658269729;21926738;180713744;0.001860195;0.0071631;0.000279258;0.001075351;0.097749408;0.000147155;2.83439E-06;0.001477887
1962 Chemicals;1962;2812 HS92;Halides of nonmetals;28 HS92;Inorganic chemicals;Chemicals;Agri-food goods;122;Processed, Mainly for household consumption;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Inorganic Processing Inputs;0.881780345;;0;6,349;68.17267307;;0.00000000%;0.00000000%;65658269729;21926738;180713744;;0.0000351;;3.09795E-05;;;;
1962 Chemicals;1962;2821 HS92;Iron oxides and hydroxides;28 HS92;Inorganic chemicals;Chemicals;Agri-food goods;122;Processed, Mainly for household consumption;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Inorganic Processing Inputs;-0.394012764;0.49151993;766,681;3,061,842;40.92779836;4.936367798;0.00009848%;0.00116768%;65658269729;21926738;180713744;0.034965575;0.0169430;-0.013776883;-0.006675778;1.431063999;0.017186277;0.000331029;0.172602938
1962 Chemicals;1962;2825 HS92;Metal base oxides, n.e.c.;28 HS92;Inorganic chemicals;Chemicals;Agri-food goods;122;Processed, Mainly for household consumption;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Inorganic Processing Inputs;-0.185669543;0.84713054;550,483;354,392;45.37701893;8.507789131;0.00007071%;0.00083841%;65658269729;21926738;180713744;0.025105558;0.0019611;-0.004661338;-0.000364111;1.139215396;0.021267685;0.000409643;0.213592796
1962 Chemicals;1962;2833 HS92;Sulfates;28 HS92;Inorganic chemicals;Chemicals;Agri-food goods;122;Processed, Mainly for household consumption;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Inorganic Processing Inputs;-0.013291051;2.4314373;2,459,676;753,675;49.05820391;24.41908874;0.00031595%;0.00374618%;65658269729;21926738;180713744;0.112177014;0.0041705;-0.00149095;-5.54309E-05;5.503202837;0.272751377;0.005253536;2.739260465
1962 Chemicals;1962;2836 HS92;Carbonates;28 HS92;Inorganic chemicals;Chemicals;Agri-food goods;122;Processed, Mainly for household consumption;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Inorganic Processing Inputs;-0.013291051;2.5406303;3,298,813;969,287;49.05820391;25.5157214;0.00042373%;0.00502422%;65658269729;21926738;180713744;0.150447048;0.0053637;-0.001999599;-7.12887E-05;7.380661949;0.382230328;0.00736224;3.838764958
1962 Chemicals;1962;2843 HS92;Compounds of precious metals;28 HS92;Inorganic chemicals;Chemicals;Agri-food goods;122;Processed, Mainly for household consumption;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Inorganic Processing Inputs;-0.013291051;2.925772;839,131;215,612;49.05820391;29.38372547;0.00010779%;0.00127803%;65658269729;21926738;180713744;0.03826976;0.0011931;-0.000508645;-1.58577E-05;1.877445688;0.111968592;0.002156657;1.12450812
1962 Chemicals;1962;2844 HS92;Uranium;28 HS92;Inorganic chemicals;Chemicals;Raw materials: Industrial;210;Primary, Mainly for industry;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Nuclear and Radioactive Materials;0.084870258;;0;194,629;51.15446273;;0.00000000%;0.00000000%;65658269729;21926738;180713744;;0.0010770;;9.14054E-05;;;;
1962 Chemicals;1962;2853 HS92;Phosphides (excluding ferrophosphorus);28 HS92;Inorganic chemicals;Chemicals;Agri-food goods;122;Processed, Mainly for household consumption;0.00;0.00;0.00;Organic Petrochemical Intermediates;-0.013291051;1.2920508;1,514,618;746,259;49.05820391;12.9761533;0.00019455%;0.00230682%;65658269729;21926738;180713744;0.069076303;0.0041295;-0.000918097;-5.48855E-05;3.388759363;0.089250093;0.00171907;0.896344698
1962 Chemicals;1962;2901 HS92;Acyclic hydrocarbons;29 HS92;Organic chemicals;Chemicals;Agri-food goods;122;Processed, Mainly for household consumption;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Organic Petrochemical Intermediates;0.35484785;1.7683275;703,361;218,733;56.91990042;17.75943231;0.00009035%;0.00107125%;65658269729;21926738;180713744;0.032077776;0.0012104;0.01138273;0.000429502;1.825863842;0.056724014;0.001092576;0.5696831
1962 Chemicals;1962;2902 HS92;Cyclic hydrocarbons;29 HS92;Organic chemicals;Chemicals;Agri-food goods;122;Processed, Mainly for household consumption;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Organic Petrochemical Intermediates;0.35484785;1.7683275;703,361;218,733;56.91990042;17.75943231;0.00009035%;0.00107125%;65658269729;21926738;180713744;0.032077776;0.0012104;0.01138273;0.000429502;1.825863842;0.056724014;0.001092576;0.5696831
1962 Chemicals;1962;2903 HS92;Halogenated derivatives of hydrocarbons;29 HS92;Organic chemicals;Chemicals;Agri-food goods;122;Processed, Mainly for household consumption;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Organic Petrochemical Intermediates;0.35484785;1.7683275;703,361;218,733;56.91990042;17.75943231;0.00009035%;0.00107125%;65658269729;21926738;180713744;0.032077776;0.0012104;0.01138273;0.000429502;1.825863842;0.056724014;0.001092576;0.5696831
1962 Chemicals;1962;2904 HS92;Sulfonated, nitrated derivatives of hydrocarbons;29 HS92;Organic chemicals;Chemicals;Intermediate goods;220;Processed, Mainly for industry;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Organic Petrochemical Intermediates;0.35484785;1.7683275;703,361;218,733;56.91990042;17.75943231;0.00009035%;0.00107125%;65658269729;21926738;180713744;0.032077776;0.0012104;0.01138273;0.000429502;1.825863842;0.056724014;0.001092576;0.5696831
1962 Chemicals;1962;2905 HS92;Acyclic alcohols;29 HS92;Organic chemicals;Chemicals;Agri-food goods;122;Processed, Mainly for household consumption;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Organic Petrochemical Intermediates;-0.198941304;0.7493097;517,376;1,279,893;45.09359722;7.525367839;0.00006646%;0.00078798%;65658269729;21926738;180713744;0.023595667;0.0070824;-0.004694153;-0.001408988;1.064013487;0.017680462;0.000340548;0.177566071
1962 Chemicals;1962;2906 HS92;Cyclic alcohols;29 HS92;Organic chemicals;Chemicals;Intermediate goods;220;Processed, Mainly for industry;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Organic Petrochemical Intermediates;-0.198941304;0.7493097;517,376;1,279,893;45.09359722;7.525367839;0.00006646%;0.00078798%;65658269729;21926738;180713744;0.023595667;0.0070824;-0.004694153;-0.001408988;1.064013487;0.017680462;0.000340548;0.177566071
1962 Chemicals;1962;2907 HS92;Phenols, phenol-alcohols;29 HS92;Organic chemicals;Chemicals;Agri-food goods;122;Processed, Mainly for household consumption;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Organic Petrochemical Intermediates;-0.198941304;0.7493097;517,376;1,279,893;45.09359722;7.525367839;0.00006646%;0.00078798%;65658269729;21926738;180713744;0.023595667;0.0070824;-0.004694153;-0.001408988;1.064013487;0.017680462;0.000340548;0.177566071
1962 Chemicals;1962;2909 HS92;Ethers;29 HS92;Organic chemicals;Chemicals;Agri-food goods;122;Processed, Mainly for household consumption;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Organic Petrochemical Intermediates;0.940924972;;0;86,739;69.43572108;;0.00000000%;0.00000000%;65658269729;21926738;180713744;;0.0004800;;0.000451625;;;;
1962 Chemicals;1962;2912 HS92;Aldehydes;29 HS92;Organic chemicals;Chemicals;Agri-food goods;122;Processed, Mainly for household consumption;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Organic Petrochemical Intermediates;0.271524537;;0;1,171,874;55.14051063;;0.00000000%;0.00000000%;65658269729;21926738;180713744;;0.0064847;;0.001760755;;;;
1962 Chemicals;1962;2915 HS92;Saturated acyclic monocarboxylic acids;29 HS92;Organic chemicals;Chemicals;Agri-food goods;122;Processed, Mainly for household consumption;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Organic Petrochemical Intermediates;0.35484785;1.2151732;725,480;570,652;56.91990042;12.20406638;0.00009319%;0.00110493%;65658269729;21926738;180713744;0.033086545;0.0031578;0.011740689;0.001120527;1.883282837;0.040205883;0.000774416;0.40379039
1962 Chemicals;1962;2917 HS92;Polycarboxylic acids;29 HS92;Organic chemicals;Chemicals;Agri-food goods;122;Processed, Mainly for household consumption;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Organic Petrochemical Intermediates;0.35484785;1.2151732;725,480;570,652;56.91990042;12.20406638;0.00009319%;0.00110493%;65658269729;21926738;180713744;0.033086545;0.0031578;0.011740689;0.001120527;1.883282837;0.040205883;0.000774416;0.40379039
1962 Chemicals;1962;2918 HS92;Carboxylic acids with additional oxygen function;29 HS92;Organic chemicals;Chemicals;Intermediate goods;220;Processed, Mainly for industry;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Organic Petrochemical Intermediates;0.35484785;1.2151732;725,480;570,652;56.91990042;12.20406638;0.00009319%;0.00110493%;65658269729;21926738;180713744;0.033086545;0.0031578;0.011740689;0.001120527;1.883282837;0.040205883;0.000774416;0.40379039
1962 Chemicals;1962;2920 HS92;Esters of other inorganic acids of nonmetals;29 HS92;Organic chemicals;Chemicals;Agri-food goods;122;Processed, Mainly for household consumption;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Organic Petrochemical Intermediates;0.644807928;;0;48,062;63.11206899;;0.00000000%;0.00000000%;65658269729;21926738;180713744;;0.0002660;;0.000171491;;;;
1962 Chemicals;1962;2921 HS92;Amine-function compounds;29 HS92;Organic chemicals;Chemicals;Intermediate goods;220;Processed, Mainly for industry;20.11;Manufacture of industrial gases;Manufacture of chemicals and chemical products;Organic Petrochemical Intermediates;0.528193432;0.046436705;25,721;359,211;60.62173783;0.466366959;0.00000330%;0.00003917%;65658269729;21926738;180713744;0.001173043;0.0019877;0.000619593;0.001049908;0.071111887;5.44722E-05;1.0492E-06;0.000547068
